feedback_id,booking_id,customer_id,feedback_date,overall_satisfaction,seat_comfort,cabin_crew_service,food_quality,in_flight_entertainment,punctuality_score,nps_score,would_recommend
FB00000004,BK00000005,CUST000002,2023-01-11,3.5,2.7,4.0,3.7,3.2,4.5,5,0
FB00000005,BK00000006,CUST000002,2022-09-24,3.4,4.7,3.8,3.7,4.3,4.2,7,1
FB00000006,BK00000007,CUST000002,2023-07-07,2.9,2.5,3.7,2.6,3.3,4.5,6,0
FB00000008,BK00000009,CUST000002,2023-09-22,3.8,3.1,3.4,4.0,2.9,4.5,7,1
FB00000011,BK00000012,CUST000002,2024-05-28,3.8,3.6,3.4,2.9,2.6,4.6,4,0
FB00000014,BK00000015,CUST000002,2022-03-02,2.7,2.7,2.8,3.5,2.4,1.7,4,0
FB00000016,BK00000017,CUST000002,2022-04-12,2.6,2.8,2.9,2.1,2.5,2.6,4,0
FB00000017,BK00000018,CUST000003,2022-07-22,4.2,3.5,5,4.1,3.4,4.3,9,1
FB00000021,BK00000022,CUST000003,2022-04-26,4.6,5,4.7,4.0,4.7,4.7,10,1
FB00000023,BK00000024,CUST000003,2024-09-20,2.4,2.9,3.3,3.7,3.2,4.8,7,0
FB00000025,BK00000026,CUST000003,2024-03-20,3.4,4.7,3.2,3.2,4.9,4.7,7,1
FB00000027,BK00000028,CUST000003,2024-01-17,3.5,3.4,2.9,2.7,2.8,4.4,7,0
FB00000030,BK00000031,CUST000003,2022-08-08,4.8,4.7,3.6,4.2,3.6,4.6,8,1
FB00000033,BK00000034,CUST000003,2024-05-19,3.1,2.8,3.1,3.4,4.4,4.2,6,0
FB00000035,BK00000036,CUST000003,2022-04-04,3.2,4.1,3.4,2.8,2.8,4.2,6,0
FB00000042,BK00000043,CUST000003,2024-12-19,3.4,3.6,4.3,4.0,4.6,4.5,7,1
FB00000044,BK00000045,CUST000003,2024-12-10,4.0,5,3.3,3.5,3.4,4.2,8,1
FB00000046,BK00000047,CUST000003,2023-11-26,3.7,4.1,3.3,3.8,3.1,2.9,6,0
FB00000048,BK00000049,CUST000003,2022-10-29,4.9,4.4,3.1,3.8,4.2,4.2,7,1
FB00000049,BK00000050,CUST000003,2022-08-07,3.3,3.4,4.8,3.8,3.6,4.6,8,1
FB00000050,BK00000051,CUST000003,2023-04-22,2.9,4.6,4.5,5,4.8,4.6,8,1
FB00000054,BK00000055,CUST000004,2024-02-11,3.0,2.1,2.5,2.7,2.7,2.2,5,0
FB00000058,BK00000059,CUST000004,2024-05-31,3.1,3.0,2.7,2.8,2.5,4.6,3,0
FB00000059,BK00000060,CUST000004,2023-06-27,3.4,2.1,2.7,2.4,4.0,4.2,5,0
FB00000062,BK00000063,CUST000005,2022-03-12,4.4,4.0,3.8,4.0,3.4,4.4,6,1
FB00000063,BK00000064,CUST000005,2022-03-25,3.9,4.5,4.0,3.8,3.6,4.7,7,1
FB00000064,BK00000065,CUST000005,2023-08-04,3.9,2.7,3.6,4.0,3.0,3.9,7,1
FB00000068,BK00000069,CUST000005,2022-04-26,4.0,4.1,4.0,3.6,3.7,2.2,6,1
