booking_id,customer_id,booking_date,flight_date,origin_airport,destination_airport,airline,cabin_class,base_fare_inr,ancillary_spend_inr,total_spend_inr,miles_earned,travel_purpose,booking_lead_days,flight_on_time
BK00000001,CUST000001,2024-02-22,2024-05-29,DEL,NRT,Vistara,Economy,30002.21,4010.72,34012.93,3496,Family Visit,97,1
BK00000002,CUST000001,2023-08-22,2023-09-18,DEL,BLR,AirIndia,Business,127370.24,4179.58,131549.82,13419,Leisure,27,1
BK00000003,CUST000001,2023-10-06,2023-11-13,LHR,BOM,Emirates,Economy,28075.09,2635.92,30711.010000000002,2476,Family Visit,38,1
BK00000004,CUST000002,2024-01-17,2024-05-13,JFK,DEL,IndiGo,Economy,12565.08,1772.06,14337.14,1385,Family Visit,117,1
BK00000005,CUST000002,2022-10-01,2023-01-11,BKK,CCU,SingaporeAir,Economy,18583.58,1166.04,19749.620000000003,2088,Education,102,1
BK00000006,CUST000002,2022-05-17,2022-09-24,BLR,SIN,Emirates,Business,152675.15,10120.75,162795.9,18307,Medical,130,1
BK00000007,CUST000002,2023-06-28,2023-07-07,JFK,LHR,AirIndia,Economy,10174.03,243.63,10417.66,838,Leisure,9,1
BK00000008,CUST000002,2022-06-19,2022-08-11,LHR,DXB,Vistara,Economy,34822.39,5085.22,39907.61,2960,Leisure,53,1
BK00000009,CUST000002,2023-06-04,2023-09-22,DEL,NRT,SingaporeAir,Premium Economy,56907.35,8087.74,64995.09,4895,Leisure,110,1
BK00000010,CUST000002,2023-07-20,2023-12-31,BLR,DEL,Vistara,Economy,12645.82,1839.77,14485.59,1345,Leisure,164,1
BK00000011,CUST000002,2022-09-11,2022-09-11,DEL,SIN,IndiGo,Premium Economy,65964.4,5409.43,71373.82999999999,5489,Leisure,0,1
BK00000012,CUST000002,2024-05-12,2024-05-28,LHR,BOM,IndiGo,Economy,23842.5,1028.21,24870.71,2741,Business,16,1
BK00000013,CUST000002,2023-06-27,2023-07-22,SIN,SYD,Etihad,Economy,34812.96,2115.68,36928.64,3991,Leisure,25,1
BK00000014,CUST000002,2022-02-12,2022-03-31,BLR,DEL,SingaporeAir,Business,121383.75,3570.02,124953.77,13351,Leisure,47,1
BK00000015,CUST000002,2022-01-01,2022-03-02,DEL,SIN,IndiGo,Economy,24505.12,3495.88,28001.0,2375,Family Visit,127,0
BK00000016,CUST000002,2024-06-02,2024-10-31,BKK,CCU,Lufthansa,Economy,12405.2,1859.85,14265.050000000001,1092,Business,151,1
BK00000017,CUST000002,2022-02-10,2022-04-12,JFK,DEL,AirIndia,Economy,33335.68,1049.36,34385.04,3892,Business,61,0
BK00000018,CUST000003,2022-04-14,2022-07-22,SIN,SYD,Etihad,Business,144346.99,987.06,145334.05,15873,Medical,99,1
