customer_id,loyalty_tier,tier_numeric,home_airport,age,gender,preferred_cabin,enrolment_date,membership_months,loyalty_points,last_flight_date,recency_days,frequency,monetary_total_inr,avg_fare_inr,avg_ancillary_inr,cabin_upgrade_ratio,route_diversity,avg_booking_lead_days,business_travel_ratio,on_time_experience_pct,avg_nps,avg_satisfaction,recommendation_rate,feedback_count,value_score,loyalty_score,engagement_score,r_score,f_score,m_score,rfm_score
CUST000001,Bronze,1,LHR,19.0,Other,Economy,2020-12-11,48.7,1143,2024-05-29,217,3,196273.76,65424.59,3608.74,0.3333,3,54.0,0.0,100.0,,,,0,0.0056,0.1926,,1,1,1,3
CUST000002,Silver,2,AUH,23.0,M,Economy,2020-05-11,55.7,23390,2024-10-31,62,14,661466.65,47247.62,3345.97,0.1429,10,79.4,0.2143,85.71,5.29,3.24,0.2857,7,0.0838,0.3757,0.479,3,3,3,9
CUST000003,Gold,3,DEL,55.0,F,First,2023-02-17,22.5,47298,2024-12-19,13,34,3692306.36,108597.25,7211.01,0.4706,29,74.0,0.2941,79.41,7.43,3.67,0.6429,14,0.3023,0.3512,0.6915,5,5,5,15
CUST000004,Bronze,1,HYD,23.0,F,Economy,2023-10-05,14.9,2817,2024-10-11,82,11,426509.08,38773.55,2204.26,0.0909,10,82.4,0.2727,72.73,4.33,3.17,0.0,3,0.0587,0.0184,0.3631,2,3,2,7
CUST000005,Silver,2,JNB,53.0,F,Premium Economy,2023-08-12,16.7,23918,2023-08-04,516,13,942189.43,72476.11,3746.88,0.3077,11,80.5,0.2308,69.23,6.4,4.08,0.8,5,0.088,0.1729,0.7255,1,3,3,7
CUST000006,Bronze,1,HYD,72.0,M,Economy,2022-01-04,35.9,3714,2024-04-10,266,11,456734.83,41521.35,3728.84,0.1818,10,128.2,0.1818,81.82,7.0,3.37,0.0,3,0.0597,0.1292,0.4874,1,3,3,7
CUST000007,Silver,2,CCU,56.0,Other,Premium Economy,2022-06-28,30.2,10354,2024-12-07,25,10,494431.76,49443.18,4050.23,0.2,8,101.8,0.2,70.0,5.0,3.5,0.0,1,0.0554,0.2251,0.4188,4,3,3,10
CUST000008,Gold,3,AUH,71.0,M,Business,2022-10-26,26.2,42546,2024-11-14,48,28,2918169.83,104220.35,6982.78,0.4643,22,91.1,0.3571,82.14,7.0,3.76,0.5556,9,0.2415,0.3642,0.6604,3,5,5,13
CUST000009,Gold,3,BKK,59.0,F,Business,2022-08-14,28.6,42359,2024-12-11,21,20,4347747.4,217387.37,15782.56,0.8,15,117.2,0.1,80.0,7.0,3.96,0.4,5,0.2463,0.3764,0.639,4,4,5,13
CUST000010,Bronze,1,BKK,45.0,Other,Economy,2023-09-27,15.2,1133,2024-05-26,220,11,315127.3,28647.94,1907.67,0.0909,9,104.3,0.3636,100.0,5.5,3.25,0.5,2,0.0548,0.0177,0.5419,1,3,2,6
CUST000011,Bronze,1,BKK,56.0,M,Economy,2023-12-09,12.8,3834,2024-03-26,281,5,109792.86,21958.57,1712.05,0.0,4,97.8,0.0,60.0,5.67,3.6,0.3333,3,0.0138,0.0088,0.5376,1,1,1,3
CUST000012,Bronze,1,JNB,66.0,F,Business,2023-12-26,12.2,2404,2024-09-16,107,9,265046.75,29449.64,1488.79,0.1111,9,107.7,0.4444,88.89,5.67,3.47,0.0,3,0.0418,0.0038,0.4429,2,2,2,6
CUST000013,Gold,3,FRA,24.0,Other,Business,2021-11-27,37.2,38035,2024-12-28,4,41,3677329.0,89690.95,5669.72,0.3659,30,97.5,0.3659,85.37,6.78,3.76,0.7778,9,0.3412,0.4155,0.7072,5,5,5,15
CUST000014,Bronze,1,ORD,56.0,F,Business,2022-08-26,28.2,2973,2023-07-23,528,5,298661.9,59732.38,2838.95,0.2,5,97.0,0.4,80.0,7.0,3.4,0.0,2,0.0204,0.088,0.49,1,1,2,4
CUST000015,Gold,3,NRT,70.0,M,Business,2022-07-08,29.8,61031,2024-12-31,1,38,5256754.98,138335.66,9475.73,0.5526,24,101.1,0.4474,94.74,7.0,4.12,0.6667,9,0.3795,0.4078,0.7197,5,5,5,15
CUST000016,Silver,2,DXB,52.0,Other,Economy,2021-06-21,42.4,17236,2024-09-24,99,11,939881.53,85443.78,4816.92,0.3636,10,86.8,0.1818,63.64,7.25,3.62,0.5,4,0.0766,0.298,0.6442,2,3,3,8
CUST000017,Bronze,1,NRT,19.0,Other,Economy,2020-06-18,54.5,1804,2024-09-14,109,8,365660.92,45707.61,3681.49,0.25,8,69.9,0.375,100.0,7.0,3.7,0.25,4,0.0397,0.2237,0.5787,2,2,2,6
CUST000018,Bronze,1,AUH,22.0,Other,Economy,2020-10-19,50.4,3976,2024-11-18,44,10,292355.35,29235.54,1815.03,0.1,10,75.6,0.5,80.0,6.67,2.97,0.0,3,0.0484,0.2052,0.4392,3,3,2,8
CUST000019,Silver,2,HYD,30.0,M,Premium Economy,2023-09-13,15.6,18879,2024-11-24,38,18,1152995.72,64055.32,3985.15,0.1667,11,65.9,0.3333,77.78,7.0,3.6,0.5,2,0.1235,0.1603,0.6325,4,4,4,12
CUST000020,Gold,3,CDG,21.0,F,Economy,2020-12-29,48.1,37556,2024-12-02,30,32,4069095.95,127159.25,9534.08,0.5312,20,85.8,0.25,84.38,7.71,4.06,0.5714,7,0.3042,0.4717,0.719,4,5,5,14
CUST000021,Bronze,1,BLR,47.0,M,Business,2020-12-20,48.4,4508,2023-09-23,466,11,338328.46,30757.13,2406.26,0.0,11,94.8,0.2727,100.0,5.75,3.08,0.0,4,0.0556,0.1955,0.412,1,3,2,6
CUST000022,Bronze,1,ORD,44.0,F,Economy,2023-12-28,12.2,3285,2024-06-25,190,4,51924.71,12981.18,631.21,0.0,4,103.5,0.25,100.0,5.5,2.85,0.0,2,0.0062,0.0049,0.3819,1,1,1,3
CUST000023,Silver,2,NRT,45.0,Other,Economy,2022-10-13,26.6,10072,2024-10-05,88,23,1530504.84,66543.69,5251.46,0.2174,19,91.9,0.2609,78.26,5.83,3.32,0.5,6,0.1648,0.2059,0.5612,2,4,4,10
CUST000024,Bronze,1,BOM,65.0,F,Economy,2023-09-07,15.8,3905,2024-10-27,66,7,467171.62,66738.8,4762.89,0.1429,7,117.6,0.2857,85.71,,,,0,0.0376,0.0246,,3,2,3,8
CUST000025,Bronze,1,AUH,56.0,M,Economy,2023-10-12,14.7,4666,2024-12-22,10,4,147247.11,36811.78,2301.2,0.0,4,50.8,0.25,100.0,,,,0,0.0095,0.0198,,5,1,1,7
CUST000026,Platinum,4,CDG,54.0,Other,Business,2021-10-13,38.6,144629,2024-12-25,7,58,11046904.13,190463.86,14254.23,0.8448,31,90.7,0.2759,82.76,8.73,4.22,1.0,15,0.6943,0.6829,0.8809,5,5,5,15
CUST000027,Silver,2,DEL,38.0,M,Economy,2022-10-22,26.3,8276,2024-12-22,10,20,1073254.27,53662.71,2999.11,0.2,14,92.8,0.3,80.0,6.17,3.65,0.5,6,0.132,0.2019,0.6037,5,4,4,13
CUST000028,Bronze,1,SIN,74.0,M,Economy,2020-07-28,53.2,3589,2022-11-18,775,4,274685.53,68671.38,6751.39,0.25,4,111.8,0.5,75.0,5.0,2.5,0.0,1,0.0139,0.2193,0.3312,1,1,2,4
CUST000029,Platinum,4,HYD,37.0,Other,Business,2020-11-24,49.2,103058,2024-12-14,18,65,14588620.02,224440.31,16260.72,0.8308,35,84.5,0.3385,76.92,7.71,4.12,0.8333,24,0.8574,0.6823,0.7897,4,5,5,14
CUST000030,Silver,2,DXB,63.0,F,Premium Economy,2023-09-19,15.4,21561,2024-09-29,94,9,483784.79,53753.87,3072.93,0.1111,9,75.0,0.4444,88.89,4.8,3.48,0.4,5,0.0494,0.1629,0.509,2,2,3,7
CUST000031,Silver,2,MAA,18.0,F,Economy,2020-11-28,49.1,10294,2024-10-24,69,21,910804.18,43371.63,3515.81,0.1429,14,94.2,0.2857,95.24,6.2,3.16,0.2,5,0.1319,0.3236,0.487,3,4,3,10
CUST000032,Silver,2,MAA,74.0,Other,Economy,2021-08-04,40.9,24087,2024-04-03,273,14,592023.95,42287.42,3339.85,0.1429,12,78.5,0.2143,78.57,5.6,3.24,0.0,5,0.0814,0.2994,0.42,1,3,3,7
CUST000033,Silver,2,DXB,75.0,F,Business,2020-07-09,53.8,16589,2024-10-31,62,17,620457.92,36497.52,2527.04,0.0588,14,103.5,0.3529,100.0,7.0,3.54,0.3333,9,0.0993,0.3566,0.5856,3,4,3,10
CUST000034,Bronze,1,JFK,69.0,M,Economy,2022-08-11,28.7,2721,2024-10-27,66,3,77914.05,25971.35,1099.84,0.0,3,116.0,0.0,100.0,5.0,3.1,0.0,1,0.0014,0.0903,0.3838,3,1,1,5
CUST000035,Bronze,1,ORD,42.0,M,Economy,2022-09-22,27.3,3770,2024-12-20,12,6,186358.0,31059.67,3060.86,0.1667,5,106.7,0.5,83.33,6.5,3.02,0.25,4,0.0221,0.0844,0.4992,5,1,1,7
CUST000036,Platinum,4,BLR,39.0,F,First,2021-10-05,38.9,208537,2024-12-23,9,42,7554388.6,179866.4,11963.93,0.7143,25,92.3,0.381,88.1,8.07,4.21,1.0,14,0.4822,0.7704,0.8537,5,5,5,15
CUST000037,Bronze,1,LHR,19.0,M,Economy,2021-07-26,41.2,2174,2024-12-08,24,6,219566.32,36594.39,2485.25,0.0,6,104.2,0.1667,33.33,6.5,3.25,0.0,2,0.0233,0.1548,0.4569,4,1,2,7
CUST000038,Bronze,1,HYD,56.0,Other,Economy,2020-01-11,59.7,4723,2024-10-06,87,11,276440.23,25130.93,1581.96,0.0909,10,107.6,0.3636,72.73,6.0,4.0,0.0,2,0.0534,0.2548,0.5025,2,3,2,7
CUST000039,Platinum,4,BLR,41.0,F,Business,2023-04-21,20.4,297302,2024-12-24,8,63,12221553.32,193992.91,14270.16,0.746,34,88.9,0.254,73.02,7.87,4.11,0.8696,23,0.7635,0.7933,0.8043,5,5,5,15
CUST000040,Silver,2,FRA,38.0,F,Premium Economy,2020-03-15,57.6,18777,2024-12-10,22,21,1049570.79,49979.56,2828.88,0.1429,16,91.5,0.3333,76.19,6.5,3.23,0.375,8,0.1368,0.3794,0.5489,4,4,4,12
CUST000041,Bronze,1,FRA,53.0,M,Economy,2022-03-13,33.7,3521,2023-10-24,435,7,221089.12,31584.16,2016.68,0.0,5,115.9,0.1429,71.43,6.0,3.1,0.5,2,0.029,0.1175,0.5487,1,2,2,5
CUST000042,Silver,2,CCU,50.0,F,Economy,2020-07-12,53.7,21890,2024-12-11,21,20,1689626.45,84481.32,6104.55,0.5,17,78.2,0.15,85.0,6.75,3.75,0.5,4,0.1535,0.3632,0.6356,4,4,4,12
CUST000043,Bronze,1,MAA,32.0,M,Economy,2023-08-05,16.9,2005,2024-09-13,110,10,409816.32,40981.63,2614.54,0.1,7,96.3,0.1,80.0,6.33,3.53,0.6667,3,0.0525,0.0277,0.6412,2,3,2,7
CUST000044,Silver,2,BKK,30.0,Other,Premium Economy,2023-12-21,12.4,9835,2024-11-30,32,23,1691698.96,73552.13,3637.96,0.2174,17,89.5,0.4348,73.91,5.6,3.58,0.4,5,0.1705,0.1315,0.5497,4,4,4,12
CUST000045,Silver,2,SYD,69.0,Other,Premium Economy,2023-04-03,21.0,13165,2024-11-23,39,22,827609.63,37618.62,2540.34,0.0909,18,88.9,0.1818,72.73,6.29,3.17,0.2857,7,0.1347,0.1808,0.5129,4,4,3,11
CUST000046,Gold,3,NBO,38.0,F,Premium Economy,2023-02-10,22.7,60905,2024-10-23,70,35,4338862.21,123967.49,8388.46,0.5714,20,78.8,0.2857,85.71,7.87,3.92,0.8,15,0.3305,0.3706,0.7703,3,5,5,13
CUST000047,Silver,2,ORD,67.0,Other,Economy,2022-05-26,31.2,19413,2024-12-05,27,12,443387.63,36948.97,2754.05,0.0833,11,66.2,0.5,75.0,6.0,3.32,0.0,4,0.0649,0.2425,0.443,4,3,3,10
CUST000048,Bronze,1,MAA,23.0,M,Economy,2021-09-19,39.4,1251,2024-11-08,54,6,111041.88,18506.98,1189.5,0.0,5,119.8,0.1667,83.33,5.0,2.67,0.0,3,0.0195,0.1442,0.3461,3,1,1,5
CUST000049,Gold,3,BKK,31.0,F,First,2021-04-30,44.1,62728,2024-09-07,116,29,4580844.34,157960.15,13343.04,0.6207,21,84.8,0.3103,79.31,7.88,3.89,0.875,8,0.3052,0.4847,0.7868,2,5,5,12
CUST000050,Silver,2,NRT,72.0,F,Economy,2022-10-09,26.8,24767,2024-11-20,42,23,1251865.28,54428.93,3766.82,0.2174,18,93.9,0.3478,82.61,5.83,3.22,0.3333,6,0.1551,0.2267,0.5108,3,4,4,11
CUST000051,Silver,2,BKK,39.0,Other,Economy,2023-11-07,13.8,9182,2024-12-30,2,15,1014413.24,67627.55,4766.2,0.2,14,82.4,0.2667,86.67,6.86,3.69,0.4286,7,0.1017,0.1379,0.6169,5,3,4,12
CUST000052,Bronze,1,JFK,23.0,Other,Economy,2021-11-16,37.5,3782,2024-04-20,256,11,335583.95,30507.63,2304.11,0.0,10,75.4,0.2727,72.73,6.0,2.4,0.0,2,0.0555,0.1377,0.3625,1,3,2,6
CUST000053,Gold,3,LHR,66.0,F,Economy,2023-11-23,13.3,30367,2024-09-29,94,19,2450967.77,128998.3,10619.1,0.7368,15,80.5,0.3684,73.68,7.86,4.06,1.0,7,0.1744,0.2804,0.8321,2,4,4,10
CUST000054,Bronze,1,JNB,59.0,M,Economy,2023-11-21,13.4,254,2024-01-09,358,11,748442.5,68040.23,5896.28,0.0909,9,90.1,0.0909,81.82,,,,0,0.0699,0.0071,,1,3,3,7
CUST000055,Platinum,4,ICN,60.0,M,First,2020-08-09,52.8,118984,2024-12-25,7,52,10281851.44,197727.91,16380.95,0.75,28,86.9,0.4231,82.69,7.64,4.15,0.9091,11,0.6338,0.7225,0.8085,5,5,5,15
CUST000056,Bronze,1,FRA,67.0,M,Business,2021-11-24,37.3,210,2024-03-26,281,5,335194.71,67038.94,4703.52,0.2,5,124.8,0.4,100.0,6.0,3.3,0.0,1,0.0217,0.1318,0.4412,1,1,2,4
